Series Name,Series Code,Country Name,Country Code,1990 [YR1990],2018 [YR2018]
"Fertility rate, total (births per woman)",SP.DYN.TFRT.IN,Germany,DEU,1.45,1.57
"Fertility rate, total (births per woman)",SP.DYN.TFRT.IN,Ghana,GHA,5.602,3.87
"Fertility rate, total (births per woman)",SP.DYN.TFRT.IN,Greece,GRC,1.39,1.35
"Fertility rate, total (births per woman)",SP.DYN.TFRT.IN,Greenland,GRL,2.444,2
"Fertility rate, total (births per woman)",SP.DYN.TFRT.IN,Grenada,GRD,3.842,2.063
"Fertility rate, total (births per woman)",SP.DYN.TFRT.IN,Guam,GUM,3.013,2.313
"Fertility rate, total (births per woman)",SP.DYN.TFRT.IN,Guatemala,GTM,5.437,2.87
"Fertility rate, total (births per woman)",SP.DYN.TFRT.IN,Guinea,GIN,6.598,4.7
"Fertility rate, total (births per woman)",SP.DYN.TFRT.IN,Guinea-Bissau,GNB,6.627,4.476
"Fertility rate, total (births per woman)",SP.DYN.TFRT.IN,Guyana,GUY,3.069,2.462
"Fertility rate, total (births per woman)",SP.DYN.TFRT.IN,Haiti,HTI,5.43,2.935
"Fertility rate, total (births per woman)",SP.DYN.TFRT.IN,Honduras,HND,5.123,2.46
"Fertility rate, total (births per woman)",SP.DYN.TFRT.IN,Hungary,HUN,1.87,1.55
"Fertility rate, total (births per woman)",SP.DYN.TFRT.IN,IBRD only,IBD,3.076805737,2.067960927
"Fertility rate, total (births per woman)",SP.DYN.TFRT.IN,Iceland,ISL,2.3,1.71
"Fertility rate, total (births per woman)",SP.DYN.TFRT.IN,IDA & IBRD total,IBT,3.578200301,2.544813434
"Fertility rate, total (births per woman)",SP.DYN.TFRT.IN,IDA blend,IDB,6.01678298,4.121254764
"Fertility rate, total (births per woman)",SP.DYN.TFRT.IN,IDA only,IDX,5.859827682,3.915951954
"Fertility rate, total (births per woman)",SP.DYN.TFRT.IN,IDA total,IDA,5.911590147,3.984088632
"Fertility rate, total (births per woman)",SP.DYN.TFRT.IN,India,IND,4.045,2.222
"Fertility rate, total (births per woman)",SP.DYN.TFRT.IN,Indonesia,IDN,3.122,2.311
"Fertility rate, total (births per woman)",SP.DYN.TFRT.IN,Iraq,IRQ,5.882,3.672
"Fertility rate, total (births per woman)",SP.DYN.TFRT.IN,Ireland,IRL,2.11,1.75
"Fertility rate, total (births per woman)",SP.DYN.TFRT.IN,Isle of Man,IMN,..,..
"Fertility rate, total (births per woman)",SP.DYN.TFRT.IN,Israel,ISR,2.824,3.09
"Fertility rate, total (births per woman)",SP.DYN.TFRT.IN,Italy,ITA,1.33,1.29
"Fertility rate, total (births per woman)",SP.DYN.TFRT.IN,Jamaica,JAM,2.947,1.979
"Fertility rate, total (births per woman)",SP.DYN.TFRT.IN,Japan,JPN,1.54,1.42
"Fertility rate, total (births per woman)",SP.DYN.TFRT.IN,Jordan,JOR,5.521,2.761
"Fertility rate, total (births per woman)",SP.DYN.TFRT.IN,Kazakhstan,KAZ,2.72,2.84
"Fertility rate, total (births per woman)",SP.DYN.TFRT.IN,Kenya,KEN,6.066,3.492
"Fertility rate, total (births per woman)",SP.DYN.TFRT.IN,Kiribati,KIR,4.688,3.569
"Fertility rate, total (births per woman)",SP.DYN.TFRT.IN,Kosovo,XKX,3.9,2
"Fertility rate, total (births per woman)",SP.DYN.TFRT.IN,Kuwait,KWT,2.967,2.082
"Fertility rate, total (births per woman)",SP.DYN.TFRT.IN,Late-demographic dividend,LTE,2.427033305,1.742051228
"Fertility rate, total (births per woman)",SP.DYN.TFRT.IN,Latvia,LVA,2.02,1.6
"Fertility rate, total (births per woman)",SP.DYN.TFRT.IN,Lebanon,LBN,3.372,2.087
"Fertility rate, total (births per woman)",SP.DYN.TFRT.IN,Lesotho,LSO,4.721,3.141
"Fertility rate, total (births per woman)",SP.DYN.TFRT.IN,Liberia,LBR,6.499,4.315
"Fertility rate, total (births per woman)",SP.DYN.TFRT.IN,Libya,LBY,4.966,2.24
